# JMH version: 1.21
# VM version: JDK 1.8.0_121, Java HotSpot(TM) 64-Bit Server VM, 25.121-b13
# VM invoker: /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=64349:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime
# Parameters: (html = )

# Run progress: 0.00% complete, ETA 00:38:30
# Fork: 1 of 1
objc[13930]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java (0x10dbf94c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x10ebe64e0). One of the two will be used. Which one is undefined.
# Warmup Iteration   1: 15.331 ms/op
# Warmup Iteration   2: 6.385 ms/op
# Warmup Iteration   3: 2.311 ms/op
# Warmup Iteration   4: 0.645 ms/op
# Warmup Iteration   5: 0.629 ms/op
Iteration   1: 0.702 ms/op
Iteration   2: 0.656 ms/op
Iteration   3: 0.621 ms/op
Iteration   4: 0.606 ms/op
Iteration   5: 0.674 ms/op
Iteration   6: 0.790 ms/op
Iteration   7: 0.607 ms/op
Iteration   8: 0.621 ms/op
Iteration   9: 0.749 ms/op
Iteration  10: 0.756 ms/op
Iteration  11: 0.701 ms/op
Iteration  12: 0.670 ms/op
Iteration  13: 0.652 ms/op
Iteration  14: 0.676 ms/op
Iteration  15: 0.698 ms/op
Iteration  16: 1.165 ms/op
Iteration  17: 0.933 ms/op
Iteration  18: 0.631 ms/op
Iteration  19: 0.596 ms/op
Iteration  20: 0.738 ms/op
Iteration  21: 0.639 ms/op
Iteration  22: 0.623 ms/op
Iteration  23: 0.647 ms/op
Iteration  24: 0.743 ms/op
Iteration  25: 0.839 ms/op
Iteration  26: 0.933 ms/op
Iteration  27: 0.661 ms/op
Iteration  28: 0.665 ms/op
Iteration  29: 0.666 ms/op
Iteration  30: 0.696 ms/op
Iteration  31: 0.751 ms/op
Iteration  32: 0.717 ms/op
Iteration  33: 0.842 ms/op
Iteration  34: 0.880 ms/op
Iteration  35: 0.706 ms/op
Iteration  36: 0.770 ms/op
Iteration  37: 1.020 ms/op
Iteration  38: 0.660 ms/op
Iteration  39: 0.679 ms/op
Iteration  40: 0.646 ms/op
Iteration  41: 0.639 ms/op
Iteration  42: 0.633 ms/op
Iteration  43: 0.631 ms/op
Iteration  44: 0.638 ms/op
Iteration  45: 0.634 ms/op
Iteration  46: 0.632 ms/op
Iteration  47: 0.633 ms/op
Iteration  48: 0.623 ms/op
Iteration  49: 0.631 ms/op
Iteration  50: 0.631 ms/op
Iteration  51: 0.629 ms/op
Iteration  52: 0.628 ms/op
Iteration  53: 0.639 ms/op
Iteration  54: 0.636 ms/op
Iteration  55: 0.628 ms/op
Iteration  56: 0.652 ms/op
Iteration  57: 0.703 ms/op
Iteration  58: 0.656 ms/op
Iteration  59: 0.656 ms/op
Iteration  60: 0.629 ms/op
Iteration  61: 0.667 ms/op
Iteration  62: 0.748 ms/op
Iteration  63: 0.631 ms/op
Iteration  64: 0.650 ms/op
Iteration  65: 0.633 ms/op
Iteration  66: 0.694 ms/op
Iteration  67: 0.656 ms/op
Iteration  68: 0.632 ms/op
Iteration  69: 0.623 ms/op
Iteration  70: 0.686 ms/op
Iteration  71: 0.769 ms/op
Iteration  72: 0.682 ms/op
Iteration  73: 0.643 ms/op
Iteration  74: 0.712 ms/op
Iteration  75: 0.657 ms/op
Iteration  76: 0.645 ms/op
Iteration  77: 0.599 ms/op
Iteration  78: 0.593 ms/op
Iteration  79: 0.589 ms/op
Iteration  80: 0.584 ms/op
Iteration  81: 0.594 ms/op
Iteration  82: 0.617 ms/op
Iteration  83: 0.591 ms/op
Iteration  84: 0.594 ms/op
Iteration  85: 0.592 ms/op
Iteration  86: 0.646 ms/op
Iteration  87: 0.698 ms/op
Iteration  88: 0.628 ms/op
Iteration  89: 0.598 ms/op
Iteration  90: 0.599 ms/op
Iteration  91: 0.701 ms/op
Iteration  92: 0.690 ms/op
Iteration  93: 0.606 ms/op
Iteration  94: 0.592 ms/op
Iteration  95: 0.589 ms/op
Iteration  96: 0.587 ms/op
Iteration  97: 0.591 ms/op
Iteration  98: 0.590 ms/op
Iteration  99: 0.590 ms/op
Iteration 100: 0.585 ms/op


Result "com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime":
  0.672 ±(99.9%) 0.032 ms/op [Average]
  (min, avg, max) = (0.584, 0.672, 1.165), stdev = 0.093
  CI (99.9%): [0.640, 0.703] (assumes normal distribution)


# JMH version: 1.21
# VM version: JDK 1.8.0_121, Java HotSpot(TM) 64-Bit Server VM, 25.121-b13
# VM invoker: /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java
# VM options: -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=64349:/Applications/IntelliJ IDEA.app/Contents/bin -Dfile.encoding=UTF-8
# Warmup: 5 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.cxd.html.HTMLEditorKitBenchmark.measureSampleTime
# Parameters: (html = <p>1</p>)

# Run progress: 4.55% complete, ETA 00:37:41
# Fork: 1 of 1
objc[14054]: Class JavaLaunchHelper is implemented in both /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/bin/java (0x1017a44c0) and /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre/lib/libinstrument.dylib (0x1018244e0). One of the two will be used. Which one is undefined.
# Warmup Iteration   1: 2.801 ms/op
# Warmup Iteration   2: 0.778 ms/op
# Warmup Iteration   3: 0.592 ms/op
# Warmup Iteration   4: 0.585 ms/op
# Warmup Iteration   5: 0.603 ms/op
Iteration   1: 0.593 ms/op
Iteration   2: 0.625 ms/op
Iteration   3: 0.603 ms/op
Iteration   4: 0.609 ms/op
Iteration   5: 0.627 ms/op
Iteration   6: 0.598 ms/op
Iteration   7: 0.594 ms/op
Iteration   8: 0.594 ms/op
Iteration   9: 0.594 ms/op
Iteration  10: 0.605 ms/op
Iteration  11: 0.598 ms/op
Iteration  12: 0.601 ms/op
Iteration  13: 0.596 ms/op
Iteration  14: 0.596 ms/op
Iteration  15: 0.595 ms/op
Iteration  16: 0.596 ms/op
Iteration  17: 0.625 ms/op
Iteration  18: 0.654 ms/op
Iteration  19: 0.645 ms/op
Iteration  20: 0.611 ms/op
Iteration  21: 0.663 ms/op
Iteration  22: 0.663 ms/op
Iteration  23: 0.604 ms/op
Iteration  24: 0.612 ms/op
Iteration  25: 0.630 ms/op
Iteration  26: 0.627 ms/op
Iteration  27: 0.587 ms/op
Iteration  28: 0.633 ms/op
Iteration  29: 0.682 ms/op
Iteration  30: 0.611 ms/op
Iteration  31: 0.584 ms/op
Iteration  32: 0.589 ms/op
Iteration  33: 0.627 ms/op
Iteration  34: 0.658 ms/op
Iteration  35: 0.651 ms/op
Iteration  36: 0.603 ms/op
Iteration  37: 0.688 ms/op
Iteration  38: 0.615 ms/op
Iteration  39: 0.637 ms/op
Iteration  40: 0.596 ms/op
Iteration  41: 0.629 ms/op
Iteration  42: 0.674 ms/op
Iteration  43: 0.628 ms/op
Iteration  44: 0.605 ms/op
Iteration  45: 0.672 ms/op
Iteration  46: 0.593 ms/op
Iteration  47: 0.586 ms/op
